,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
42932,Chromogenic color prints with sand-blasted text on glass,Photograph,From Here I Saw What Happened and I Cried,Carrie Mae Weems,7177,http://www.moma.org/media/W1siZiIsIjY1Nzg3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=842ab756e4d6ee9d,blue
42949,Gelatin silver print (resin-coated),Photograph,Dionysus-Hera,George Woodman,6445,http://www.moma.org/media/W1siZiIsIjI0MDAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a30bd664f480e8c,blue
43001,Color instant print (Polacolor II),Photograph,Still Life & Figure,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjM3NDkxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b47192c96d587be5,blue
43010,Hand-applied emulsion photograph,Photograph,Girl by Four Highways,Betty Hahn,2452,http://www.moma.org/media/W1siZiIsIjE5OTQyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=33d8419de19ed666,blue
43014,"Palladium print, printed 1974",Photograph,"""Always Camel"" Cigarettes",Ralph Steiner,5631,http://www.moma.org/media/W1siZiIsIjI1NTM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=00decf10e92fc9e0,blue
43023,"Color instant print (Polacolor II, scratched)",Photograph,Still Life & Figure,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjM3NDkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fbec46377678c551,blue
43056,"Gelatin silver print, printed 1974",Photograph,"Nude on Sand, Oceano",Edward Weston,6329,http://www.moma.org/media/W1siZiIsIjIwODE1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8144d3ccf673be91,blue
43128,Color instant print with hand-applied ink,Photograph,8 x 10 Sitting,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjYxNTgyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=443f2b7ea1658461,blue
43150,"Dye transfer print, printed c. 1990",Photograph,New York,Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE4NjgxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee0edae017cccf24,blue
43199,"Gelatin silver print, printed 1981",Photograph,Spectre of Coca-Cola,Clarence John Laughlin,3406,http://www.moma.org/media/W1siZiIsIjE3Mjg5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e090723b6077dcbb,blue
43287,"Gelatin silver print, printed c. 1982",Photograph,"Walker Evans, New York",Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE4NjgxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d67fd3ff9c855632,blue
43301,Microfilm reader-printer machine print,Photograph,Honey under Sink,Bill Arnold,3,http://www.moma.org/media/W1siZiIsIjI1ODcxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9fd3a1010ea2337e,blue
43309,"Gelatin silver print, printed c. 1983",Photograph,"Walker Evans, New York",Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE4NjgxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de0c6172674b7a29,blue
43360,"Gelatin silver print, printed c. 1981",Photograph,New York,Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE2NTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=133cec93d54d8dcb,blue
43389,Color instant print (Polacolor ER),Photograph,Ultra-Large Lucas,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjY3ODM5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bd1680f36384c5e6,blue
43406,Gelatin silver print with applied color,Photograph,Coloring #7,Gregory Spaid,5552,http://www.moma.org/media/W1siZiIsIjI0MDA1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d3882ccaa209f65,blue
43413,Collage of color instant prints,Photograph,Panorama,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjExMDk2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=486cdde826cf1ca8,blue
43427,Platinum print (double-coated),Photograph,"Rose Pastor Stokes, Caritas Island, Connecticut",Clarence H. White,6338,http://www.moma.org/media/W1siZiIsIjE5MzM2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3704e5d0ebd32bd,blue
43475,Collage of color instant prints (Polacolor ER),Photograph,Panorama,Lucas Samaras,5134,http://www.moma.org/media/W1siZiIsIjMwMTI5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a3bb3dae5bb8a52,blue
43476,"Two gelatin silver prints, printed 1992",Photograph,Plank Piece I and II,Charles Ray,7049,http://www.moma.org/media/W1siZiIsIjE2NDI1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5fc5213c2d98a469,blue
43536,"Gelatin silver print, printed c. 1979",Photograph,New York,Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE4NjgyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c06f9bd67caa8cbf,blue
43584,Silver dye bleach print (Cibachrome) and Plexiglas wall label with gilded lettering,Photograph,Does Andy Warhol Make You Cry?,Louise Lawler,7928,http://www.moma.org/media/W1siZiIsIjExNzMwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f06441f820ef1320,blue
43664,Salted paper print (photogram),Photograph,Lace,William Henry Fox Talbot,5791,http://www.moma.org/media/W1siZiIsIjM5MzQyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=30be32505e1acf89,blue
43680,"Gelatin silver print, printed 1944-53",Photograph,The Earthbound Farmer,August Sander,5145,http://www.moma.org/media/W1siZiIsIjI1NTM3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d4783557f285d24a,blue
43703,Gum bichromate print,Photograph,A Study in Gum,Clarence H. White,6338,http://www.moma.org/media/W1siZiIsIjE5MzE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0665986e4cb2e07b,blue
43715,Collage of gelatin silver prints on board,Photograph,Man of the Planets,Joseph Bellanca,448,http://www.moma.org/media/W1siZiIsIjIxMzMwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b23595d1fa3fec3b,blue
43727,Gelatin silver print (photogram),Photograph,Rayograph,Man Ray (Emmanuel Radnitzky),3716,http://www.moma.org/media/W1siZiIsIjE5NjAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=863a02c71d396e5b,blue
43760,Gelatin silver print (solarized?),Photograph,The Condemned,Henri Pribik,4732,http://www.moma.org/media/W1siZiIsIjIzMzI1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4365599c48f4db0c,blue
43776,Two color instant prints (Polaroid),Photograph,Fay/Ruscha,William Wegman,6281,http://www.moma.org/media/W1siZiIsIjIyNzk4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9d6430325e85fd1a,blue
43824,"Gelatin silver print, printed c. 1953",Photograph,"Wet Kelp, Point Lobos",Edward Weston,6329,http://www.moma.org/media/W1siZiIsIjIwODE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c511e1ba04055b6,blue
43828,"Gelatin silver print, printed 1971",Photograph,Willard's Fist,Barbara Morgan,4089,http://www.moma.org/media/W1siZiIsIjIwMDU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d2dfad0816775e44,blue
43906,"Gelatin silver print, printed 1980 by Michaela Allan Murphy",Photograph,Street Scene 4,Aaron Siskind,5456,http://www.moma.org/media/W1siZiIsIjE4MzQ5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5f74a14ae31b4e6e,blue
43957,"Gelatin silver print, printed 1952",Photograph,Cabbage Leaf,Edward Weston,6329,http://www.moma.org/media/W1siZiIsIjIwODI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ad2f48c4e664a5a3,blue
44020,"Gelatin silver print, printed 1947",Photograph,"Alfred Stieglitz, New York",Henri Cartier-Bresson,1000,http://www.moma.org/media/W1siZiIsIjE0NDM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a460811cbe833a30,blue
44078,,Photograph,"Elmhurst, New York",Robert Bononno,669,http://www.moma.org/media/W1siZiIsIjIxMzMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=575c12c28b15fd2e,blue
44122,"Gelatin silver print, printed 1950s",Photograph,"In the Public Bar, at Charlie Brown's, Limehouse",Bill Brandt,740,http://www.moma.org/media/W1siZiIsIjE4Mzk0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a590d9a44142b636,blue
44147,Black and white instant print (Polaroid),Photograph,Thigh,Nancy Hellebrand,2587,http://www.moma.org/media/W1siZiIsIjM5ODU4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=427a19a274afde7f,blue
44149,Photograph,Photograph,Light Reflections Number 19,James Edward Davis,1408,http://www.moma.org/media/W1siZiIsIjIxNjYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=631c5f110800134f,blue
44166,Gelatin silver print (solarized),Photograph,Sleeping Woman,Man Ray (Emmanuel Radnitzky),3716,http://www.moma.org/media/W1siZiIsIjIxMDQ1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0fa0ea89e146f9b,blue
44263,Gelatin silver print from an instant negative (Polaroid),Photograph,Laura & Self,Judith Black,581,http://www.moma.org/media/W1siZiIsIjIzODM5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec21320b7b7dd4fc,blue
44283,Gelatin silver print from an instant camera (Polaroid),Photograph,Self-Portrait with Rob,Judith Black,581,http://www.moma.org/media/W1siZiIsIjIzODM5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c1f8cc0bad0d44b0,blue
44323,"Gelatin silver print, printed 1995",Photograph,Graz,Seiichi Furuya,7863,http://www.moma.org/media/W1siZiIsIjE4NzMxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c148c5b677b55d6,blue
44338,"Gelatin silver print, printed 1996",Photograph,Graz,Seiichi Furuya,7863,http://www.moma.org/media/W1siZiIsIjE4NzMxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc4ee3d9852f5f91,blue
44389,Polaroid negative,Photograph,Peeled Paint,Minor White,6342,http://www.moma.org/media/W1siZiIsIjYxNDUwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3603bafe0b6b33ac,blue
44411,"Gelatin silver print, printed 1988",Photograph,"U.S. Corps of Cadets, West Point",Eugene Omar Goldbeck,2210,http://www.moma.org/media/W1siZiIsIjM5MTY4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=70b85b99641005cc,blue
44595,"Gelatin silver print, printed 1990",Photograph,William S. Burroughs,Allen Ginsberg,2167,http://www.moma.org/media/W1siZiIsIjIzMzMwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a34be54395e3ca8c,blue
44610,"Gelatin silver print, printed 1958",Photograph,"Ancient Lodger, Eldridge Street Police Station",Jacob August Riis,4928,http://www.moma.org/media/W1siZiIsIjIxMDU1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0269a86865f27121,blue
44611,"Dye transfer print, printed 1981",Photograph,Facade of Cotton Warehouse,William Christenberry,1112,http://www.moma.org/media/W1siZiIsIjIxNjQ3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=46c941f7efe2dd9a,blue
44636,Tri-color carbro print,Photograph,Images de Deauville,Paul Outerbridge,4452,http://www.moma.org/media/W1siZiIsIjQ0NDkwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9025b670f032ec5b,blue
44658,Gum platinum print (toned),Photograph,Father and Son Furrowing,John G. Bullock,860,http://www.moma.org/media/W1siZiIsIjE5NzgzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=71b281884ed0fde7,blue
45210,"Dye transfer print, printed 1991",Photograph,New York,Helen Levitt,3520,http://www.moma.org/media/W1siZiIsIjE4NjY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c4b72aaa0a263f48,blue
45270,Gelatin silver print (with hand-applied silver pencil and graphite),Photograph,"Marking the Passage, Three Rivers, New Mexico",Rick Dingus,1548,http://www.moma.org/media/W1siZiIsIjIzODM5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d500166e0fa1af2f,blue
45274,"Gelatin silver print, printed 1984",Photograph,Horizon Rib from the series Cancellations,Thomas F. Barrow,350,http://www.moma.org/media/W1siZiIsIjIxMzM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a464a5d4cfad198,blue
45307,Twenty-five gelatin silver prints,Photograph,Memory Warp I,Esther Parada,7012,http://www.moma.org/media/W1siZiIsIjI2NjYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e7f58cb9fe2f7c79,blue
45349,Collage of photomechanical reproductions,Photograph,Blossom,Jay DeFeo,7694,http://www.moma.org/media/W1siZiIsIjEyNDI4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e60af15b09d0ff9f,blue
45385,"Chromogenic color print, printed 1982",Photograph,New York City,Patrick D. Pagnano,4467,http://www.moma.org/media/W1siZiIsIjIwMTUzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b4b3eadd0f3a436,blue
45448,"Gelatin silver print, printed 1992",Photograph,Moscow,Valery Shchekoldin,7014,http://www.moma.org/media/W1siZiIsIjIxMzM2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2cc06898eaefdf8e,blue
45508,"Gelatin silver print, printed 1982",Photograph,"Bob Dylan, Poet-Musician",Jerry Schatzberg,7711,http://www.moma.org/media/W1siZiIsIjI1NTM2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96f173a7ba84aefc,blue
45524,Three gelatin silver prints,Photograph,"Adriatic Sea, Gargano I",Hiroshi Sugimoto,5721,http://www.moma.org/media/W1siZiIsIjMzOTA4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67fb3f7b1818cbf3,blue
45544,Silver dye bleach prints,Photograph,Suburbia,Thomas Florschuetz,1920,http://www.moma.org/media/W1siZiIsIjQyODMyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bd32b185a0ad7c7f,blue
45608,Thirty-five gelatin silver prints,Photograph,Portrait Partials,Carolee Schneemann,7712,http://www.moma.org/media/W1siZiIsIjI5MjU5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7bc8b2879611432c,blue
45657,"Silver dye bleach print , printed 1984",Photograph,Emptying the Fridge,Michael Mandel,3719,http://www.moma.org/media/W1siZiIsIjE4NjQ3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e51060abb62e6f60,blue
45676,"Chromogenic color print, printed 1983",Photograph,Study for Chinese Summerhall Series,Robert Rauschenberg,4823,http://www.moma.org/media/W1siZiIsIjQwMDc5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0607e0e66039bcdd,blue
45693,"Gelatin silver print, printed 1954",Photograph,"""I Scrubs"" - Katie, Who Keeps House on West Forty-Ninth Street",Jacob August Riis,4928,http://www.moma.org/media/W1siZiIsIjMzNTUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8da07ba32f45a2f4,blue
45817,"Gelatin silver print, printed 1970 by James Dow",Photograph,"Church Organ and Pews, Alabama",Walker Evans,1777,http://www.moma.org/media/W1siZiIsIjE4NzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2da83efcbdf3cd5d,blue
45832,"Gelatin silver print, printed 1970",Photograph,"Corner of State and Randolph Streets, Chicago",Walker Evans,1777,http://www.moma.org/media/W1siZiIsIjE4NzU1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0350ff9e082e7bc5,blue
45849,"Gelatin silver print, printed 1969",Photograph,"Nude, London",Bill Brandt,740,http://www.moma.org/media/W1siZiIsIjIwNzUxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5abca549e81d53d1,blue
45864,Four gelatin silver prints,Photograph,Wisconsin,Harry Callahan,924,http://www.moma.org/media/W1siZiIsIjE4NDA5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eebec1bf7eade10a,blue
46056,Inkless intaglio,Photograph,Lower Torso,Naomi Savage,5183,http://www.moma.org/media/W1siZiIsIjIxMjUxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9fab70694e7fce0c,blue
46077,Seven gelatin silver prints,Photograph,"Before, On, After Permutations I",William Wegman,6281,http://www.moma.org/media/W1siZiIsIjMwNjIxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b94a148da946843,blue
46081,"Gelatin silver print, printed 1961",Photograph,"Gloria Swanson, New York",Edward Steichen,5623,http://www.moma.org/media/W1siZiIsIjE3MTk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d5ec4a7c7c14aac,blue
46127,Six gelatin silver prints,Photograph,Family Combinations,William Wegman,6281,http://www.moma.org/media/W1siZiIsIjM1ODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=bd30cb687688eb8b,blue
46144,"Gelatin silver print, printed 1989",Photograph,Dutch House,Thomas Roma,5006,http://www.moma.org/media/W1siZiIsIjQyMjc4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1fe0c6120296deed,blue
46156,Color instant prints,Photograph,Foamy Aftershave (L-Foamy; R-Aftershave),William Wegman,6281,http://www.moma.org/media/W1siZiIsIjM3NTMxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df83c6af577a47aa,blue
46208,"Albumen silver print from a wet-collodion glass negative, print date 1881",Photograph,"Studies of Foreshortenings, Horses: Running",Eadweard J. Muybridge,4192,http://www.moma.org/media/W1siZiIsIjM5MzQ0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9927711f1da48e7d,blue
46285,Gelatin silver print (hand-painted),Photograph,RCA,William Wegman,6281,http://www.moma.org/media/W1siZiIsIjE5MjI2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0127f822074fd71b,blue
46356,Photomontage and typed text on paper,Photograph,Grasped from Life,Gerhard Rühm,8078,http://www.moma.org/media/W1siZiIsIjIwMjIwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=713e70c0cf726466,blue
46426,Salted paper print from a calotype,Photograph,Loch Katrine,William Henry Fox Talbot,5791,http://www.moma.org/media/W1siZiIsIjU4NDA5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=4fb7037eaac3beca,blue
46464,"Gelatin silver print, printed c. 1940",Photograph,General Ulysses S. Grant,Mathew B. Brady (studio of),734,http://www.moma.org/media/W1siZiIsIjIxODQwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=471b2523d31d52e7,blue
46495,"Gelatin silver print, printed 1994",Photograph,"Berhardstrasse, Leipzig",Thomas Struth,7825,http://www.moma.org/media/W1siZiIsIjIyMTY0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec9d4127951b2e3f,blue
46528,"Gelatin silver print, printed 1987",Photograph,"View of Saint Salvator, Duisburg. (Blick auf Sankt Salvator, Duisberg Altstadt)",Thomas Struth,7825,http://www.moma.org/media/W1siZiIsIjIwODU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f25e52f601a856bd,blue
46542,"Gelatin silver print, printed 1991",Photograph,"Clinton Road, London",Thomas Struth,7825,http://www.moma.org/media/W1siZiIsIjIyMTY1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0a235c8b866f31cc,blue
46694,Gelatin silver print from 16mm film,Photograph,Image of Life and Death,Dieter Appelt,7647,http://www.moma.org/media/W1siZiIsIjM5NTQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=292a7c81c782fe7e,blue
46695,"Gelatin silver print, printed 1999",Photograph,"South Lake Apartments 2, Chicago",Thomas Struth,7825,http://www.moma.org/media/W1siZiIsIjIwODYxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92a58e2ef3b811be,blue
46716,"Gelatin silver print, printed 1985",Photograph,"Irish Dance Hall, The Bronx",George Zimbel,6569,http://www.moma.org/media/W1siZiIsIjIwNzU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a19c7fa728fb1b45,blue
46788,"Gelatin silver print, printed c. 1949",Photograph,Brussels,Henri Cartier-Bresson,1000,http://www.moma.org/media/W1siZiIsIjQxNzciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=85e77b12d24abf8a,blue
46927,"Gelatin silver print, printed c. 1988",Photograph,"Robert Frank, Photographer, New York City, Covering Opening Night, in 1953-54 Season, at the Old Metropolitan Opera, 39th Street and Broadway",Bedrich Grunzweig,2381,http://www.moma.org/media/W1siZiIsIjE4MjExNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84d67797612f6832,blue
46979,Gelatin silver print (with montage of second gelatin silver print),Photograph,"Hotshot Eastbound, Iaeger, West Virginia",O. Winston Link,3561,http://www.moma.org/media/W1siZiIsIjI1MTE3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e61c8ebc8d3dd29d,blue
46981,"Gelatin silver print, printed c. 1976",Photograph,"Autumn, Storm, near Peñasco, New Mexico",Ansel Adams,60,http://www.moma.org/media/W1siZiIsIjIwMDcxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b6b29d021e394eba,blue
46983,"Chromogenic color print, printed 1985",Photograph,"Vegetables, Seward County, Seward, Nebraska",Ronald R. Geibert,2109,http://www.moma.org/media/W1siZiIsIjIzMzQwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4189f1e675bdde96,blue
47010,"Dye transfer print, printed 1963",Photograph,Milk Drop Coronet,Harold Eugene Edgerton,1681,http://www.moma.org/media/W1siZiIsIjYyMDYyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=8371dc4e3c2b74ce,blue
47024,"Gelatin silver print, printed 1978",Photograph,"Mount Williamson, Sierra Nevada, from the Owens Valley, California",Ansel Adams,60,http://www.moma.org/media/W1siZiIsIjIwMDcxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4650557c80e88299,blue
