,Medium,Classification,Title,Artist,ConstituentID,ThumbnailURL,class_color
197,"Ink, airbrush, and cut-and-pasted printed self-adhesive polymer sheet on frosted polymer sheet",Architecture,"Prototype Architecture School No. 5, project, Los Angeles, California, Elevations",Neil M. Denari,7933,http://www.moma.org/media/W1siZiIsIjMxNTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0ce2bf49d3f5f3c7,
198,Gouache on linen,Architecture,"Bismarck Monument, project, Bingen, Germany, Perspective view of courtyard",Ludwig Mies van der Rohe,7166,http://www.moma.org/media/W1siZiIsIjMxNjkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3c9df97b4be13aa4,
199,"Fiberglass, polyester resin, metal, paper, plastic and synthetic polymer paint",Architecture,Simulated Dwelling for a Family of Five Project,David Jacob,2864,http://www.moma.org/media/W1siZiIsIjIyODY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ff682356d0f9e950,
200,Pen and ink on paper,Architecture,"Gotthard Bank, Lugano, Switzerland, Perspective",Mario Botta,696,http://www.moma.org/media/W1siZiIsIjMzNjciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8a88fcffb59edd5e,
201,Colored pencil on print,Architecture,"Gotthard Bank, Lugano, Switzerland, Elevation",Mario Botta,696,http://www.moma.org/media/W1siZiIsIjMzNzciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a20f9aeb78f9522b,
202,Color pencil on print,Architecture,"Gotthard Bank, Lugano, Switzerland, West elevation",Mario Botta,696,http://www.moma.org/media/W1siZiIsIjMzOTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=391db242d5754e0d,
211,Colored pencil and graphite on print,Architecture,"Cultural Center, Chambéry, France, South elevation",Mario Botta,696,http://www.moma.org/media/W1siZiIsIjM1MDgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=8787dbeec34b9c8e,
214,Color pencil and graphite on diazotype,Architecture,"Row Housing, project, Pregassona, Switzerland, Elevation",Mario Botta,696,http://www.moma.org/media/W1siZiIsIjM1NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9df25931cc57d624,
224,Colored pencil and graphite on paper,Architecture,"Millard House (La Miniatura), Pasadena, California (Exterior perspective from the garden)",Frank Lloyd Wright,6459,http://www.moma.org/media/W1siZiIsIjYwMTA4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=848ca9a4f2499bf1,
225,Color pencil on board,Architecture,Project for a Piece of Furniture,Alessandro Mendini,3925,http://www.moma.org/media/W1siZiIsIjM5NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=91c1832c52f2c6d3,
